taxon,partial_MEGA_RelTime_relative_rate,complete_MEGA_RelTime_relative_rate,partial_cumulative_root_to_tip_rate_subs_per_site_per_year,complete_cumulative_root_to_tip_rate_subs_per_site_per_year,delta_relative_Partial_minus_Complete,delta_root_to_tip_Partial_minus_Complete
D. albomicans,1.50284952909971,1.30907012908905,7.554116122728374e-09,4.437301124126363e-09,0.19377940001065985,3.1168149986020106e-09
D. americana,0.340587851224941,0.612488916293671,4.7046442072224494e-09,3.49134430649403e-09,-0.27190106506872996,1.2132999007284193e-09
D. ananassae,2.92677785771902,5.49984310067882,1.0509737751688943e-08,8.540145860942246e-09,-2.5730652429598,1.969591890746697e-09
D. biarmipes,0.891120765762344,0.525805079036676,6.392452205807877e-09,4.987135748429139e-09,0.36531568672566805,1.405316457378738e-09
D. bipectinata,4.47528031425644,3.7472333650383,1.0933773614196113e-08,8.272740286081726e-09,0.7280469492181401,2.6610333281143872e-09
D. borealis,0.125010417476663,0.308236400111829,4.571265156888016e-09,3.354618394371992e-09,-0.183225982635166,1.2166467625160237e-09
D. busckii,1.37238797991128,1.28786646966424,7.642692394673565e-09,4.859364611881668e-09,0.08452151024704002,2.7833277827918965e-09
D. elegans,0.454960080344277,0.246005517372446,5.9540580887399926e-09,4.634149575403721e-09,0.208954562971831,1.3199085133362717e-09
D. erecta,0.207065781921395,0.101053548528589,6.127215756756546e-09,5.0012025852564945e-09,0.106012233392806,1.1260131715000517e-09
D. eugracilis,0.7306579495756,0.855263452658291,6.5974570663576095e-09,5.396939023258521e-09,-0.12460550308269092,1.2005180430990883e-09
D. ezoana,0.0734543422386455,0.0773838141848117,4.4262076979994706e-09,3.134438061003633e-09,-0.003929471946166205,1.2917696369958376e-09
D. ficusphila,0.550459930381968,0.331775244229124,6.113632414241936e-09,4.705261411672836e-09,0.21868468615284403,1.4083710025691006e-09
D. flavomontana,0.151175245955908,0.190956582576781,4.587180641046031e-09,3.3093388222296804e-09,-0.03978133662087299,1.2778418188163505e-09
D. grimshawi,0.739925768507405,0.564417868677248,5.351492321172807e-09,2.8513222607205886e-09,0.17550789983015702,2.5001700604522183e-09
D. hydei,0.596951978328654,0.643288181908841,4.913053256564187e-09,3.0521251439099733e-09,-0.046336203580186974,1.8609281126542139e-09
D. kanekoi,5.81427971086334,16.6009972964792,4.650223628751754e-09,3.285710322858218e-09,-10.786717585615861,1.3645133058935358e-09
D. kikkawai,1.19949249583783,1.15450886979124,8.232146095708791e-09,6.054213426055582e-09,0.0449836260465899,2.177932669653209e-09
D. littoralis,0.213853559361146,0.529725567443802,4.6233212616552405e-09,3.565921529697209e-09,-0.3158720080826559,1.0573997319580316e-09
D. lummei,0.497360047366215,0.608061107268316,4.704612249900379e-09,3.490350129894293e-09,-0.110701059902101,1.2142621200060858e-09
D. melanogaster,0.597618535680499,0.605340773946856,6.2421523132799764e-09,5.13700173504261e-09,-0.007722238266356984,1.1051505782373668e-09
D. mojavensis,0.78116178783097,0.971870473979712,4.9986245961683605e-09,3.3400566330652603e-09,-0.19070868614874203,1.6585679631031002e-09
D. montana,0.151337132169064,0.384429977350922,4.587261886322998e-09,3.378599540660821e-09,-0.233092845181858,1.208662345662177e-09
D. navojoa,0.342013610403648,0.406078922114661,4.6543994014592845e-09,2.8292733374173764e-09,-0.06406531171101298,1.8251260640419082e-09
D. novamexicana,0.340587851224941,0.612488916293671,4.6793470148853375e-09,3.49134430649403e-09,-0.27190106506872996,1.1880027083913073e-09
D. obscura,0.783863043743677,0.967563084343822,6.218599236441323e-09,5.218176009399424e-09,-0.183700040600145,1.000423227041899e-09
D. persimilis,0.902718319166188,0.679098837579096,6.307001989198988e-09,5.322483026694e-09,0.2236194815870921,9.84518962504988e-10
D. pseudoobscura,0.902718319166188,2.40428563518072,6.388236838392671e-09,5.371133498412928e-09,-1.5015673160145317,1.0171033399797425e-09
D. rhopaloa,0.366521898526711,0.238394306505832,5.682847585500139e-09,4.4014806924538325e-09,0.12812759202087903,1.2813668930463065e-09
D. sechellia,1.19398529779865,4.0477891393751,6.1658645260890865e-09,5.1379671294510276e-09,-2.8538038415764495,1.027897396638059e-09
D. serrata,2.38789531299565,1.1665265568203,8.686299251677595e-09,6.057818148917016e-09,1.2213687561753501,2.6284811027605788e-09
D. simulans,0.520002996686378,1.52439304761861,6.1360322536887986e-09,5.053431242102612e-09,-1.004390050932232,1.0826010115861864e-09
D. suzukii,0.439280136790406,0.54052475034984,6.169983045387393e-09,4.990857277616045e-09,-0.10124461355943404,1.1791257677713482e-09
D. takahashii,0.446599340066637,0.67108606649182,6.092567189619072e-09,5.075869256942827e-09,-0.22448672642518303,1.0166979326762445e-09
D. virilis,0.675184993551031,0.618166947399719,4.823048471276259e-09,3.493491538387649e-09,0.05701804615131201,1.3295569328886101e-09
D. willistoni,1.86039934803041,1.84622814211846,1.20028740102272e-08,7.850098692664656e-09,0.014171205911949869,4.152775317562544e-09
D. yakuba,0.14246861521778,0.204783502752774,6.071160275157422e-09,5.069942574656556e-09,-0.06231488753499398,1.0012177005008662e-09
