species,feature,domain,test_family,structure_model,tested_region,control_region,n_feature_intervals_merged,tested_length,control_length,covered_test,covered_control,free_test,free_control,coverage_test,coverage_control,RR,OR,OR_CI95_low,OR_CI95_high,fisher_p_two_sided,observed_log_RR_stat,null_RR_median,null_RR_q025,null_RR_q975,perm_p_two_sided,perm_p_enrichment,perm_p_depletion,effect_direction,fdr_family,FDR_BH,result
D.melanogaster,CLEAVAGE,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,12,720,244,12,0,708,244,0.0166666666666666,0.0,inf,8.627381792519408,0.5088780345717212,146.26631832623335,0.0441537762113931,2.1394948981279787,0.9223300970873788,0.3398058252427184,8.495145631067961,0.028997100289971,0.028997100289971,1.0,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|CLEAVAGE,0.028997100289971,SIGNIFICANT_ENRICHMENT
D.melanogaster,DSE,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,7,720,244,36,6,684,238,0.05,0.0245901639344262,2.0333333333333337,2.087719298245614,0.8687470273419481,5.017078310590383,0.1038542761690607,0.6461291569466323,0.9870550161812298,0.2426151621565793,28.883495145631063,0.4892510748925107,0.2940705929407059,0.7772222777722227,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|DSE,0.4892510748925107,NOT_SIGNIFICANT
D.melanogaster,MIRNA_ALL,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,39,720,244,358,82,362,162,0.4972222222222222,0.3360655737704918,1.479539295392954,1.9537798140412344,1.4428309042820446,2.6456707784856284,1.5019237988535162e-05,0.3897494399588177,1.0120703227499344,0.5849912253726615,2.077401192604876,0.2120787921207879,0.1347865213478652,0.8653134686531346,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|MIRNA_ALL,0.2120787921207879,NOT_SIGNIFICANT
D.melanogaster,MIRNA_CONSERVED,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,6,720,244,36,7,684,237,0.05,0.0286885245901639,1.7428571428571429,1.781954887218045,0.7824746866332307,4.05810344324744,0.2089200426315755,0.503028313305959,1.0841423948220064,0.2065486388730249,29.56310679611651,0.5934406559344065,0.3737626237376262,0.7658234176582341,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|MIRNA_CONSERVED,0.5934406559344065,NOT_SIGNIFICANT
D.melanogaster,MIRNA_WEAK,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,37,720,244,333,82,387,162,0.4625,0.3360655737704918,1.3762195121951222,1.6999432785025526,1.2551287341488937,2.3023990061749275,0.000573597340354,0.317463645274821,1.0085723021188469,0.5722234015216687,2.1994025392083643,0.3306669333066693,0.1894810518948105,0.8106189381061893,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|MIRNA_WEAK,0.3306669333066693,NOT_SIGNIFICANT
D.melanogaster,PAS,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,9,720,244,60,0,660,244,0.0833333333333333,0.0,inf,44.79106737320212,2.758963383906394,727.1715631071957,1.6830682097184942e-08,3.716409618856519,1.0897221292266488,0.278945080423127,38.398058252427184,0.0185981401859814,0.0185981401859814,1.0,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|PAS,0.0185981401859814,SIGNIFICANT_ENRICHMENT
D.melanogaster,UGUA,APA_PROXIMITY,APA_WINDOW_APA_COMBINED_25NT,,APA_COMBINED_PROXIMAL_25NT,APA_COMBINED_DISTAL,11,720,244,40,4,680,240,0.0555555555555555,0.0163934426229508,3.3888888888888884,3.5294117647058822,1.2495920804127951,9.968651050292568,0.0117404058759762,1.1178436505959972,0.9898691430983536,0.3108861805412105,27.5242718446602,0.1471852814718528,0.1182881711828817,0.9438056194380562,ENRICHED,D.melanogaster|APA_WINDOW_APA_COMBINED_25NT|UGUA,0.1471852814718528,NOT_SIGNIFICANT
D.melanogaster,CLEAVAGE,APA_PROXIMITY,APA_WINDOW_CLEAVAGE_25NT,,CLEAVAGE_PROXIMAL_25NT,CLEAVAGE_DISTAL,12,561,403,12,0,549,403,0.0213903743315508,0.0,inf,18.35759781619654,1.083690362947393,310.97572618866553,0.0019057372591536,2.88878885293566,0.9802652863151085,0.3805735817458656,3.0192170818505337,0.0018998100189981,0.0018998100189981,1.0,ENRICHED,D.melanogaster|APA_WINDOW_CLEAVAGE_25NT|CLEAVAGE,0.0018998100189981,SIGNIFICANT_ENRICHMENT
D.melanogaster,DSE,APA_PROXIMITY,APA_WINDOW_CLEAVAGE_25NT,,CLEAVAGE_PROXIMAL_25NT,CLEAVAGE_DISTAL,7,561,403,36,6,525,397,0.0641711229946524,0.0148883374689826,4.310160427807487,4.537142857142857,1.8931512129515125,10.873756499370392,0.0001617939484452,1.3954231117543132,0.9520053861690873,0.2322287230834187,6.150257018584421,0.1093890610938906,0.0768923107689231,0.9471052894710528,ENRICHED,D.melanogaster|APA_WINDOW_CLEAVAGE_25NT|DSE,0.1093890610938906,NOT_SIGNIFICANT
D.melanogaster,MIRNA_ALL,APA_PROXIMITY,APA_WINDOW_CLEAVAGE_25NT,,CLEAVAGE_PROXIMAL_25NT,CLEAVAGE_DISTAL,39,561,403,286,154,275,249,0.5098039215686274,0.3821339950372208,1.334097275273746,1.6815584415584417,1.2961318418229044,2.181598122301825,0.0001076500673324,0.2874574678844532,0.9974510214385104,0.5846675601978093,1.782107092609451,0.3142685731426857,0.1608839116088391,0.8392160783921608,ENRICHED,D.melanogaster|APA_WINDOW_CLEAVAGE_25NT|MIRNA_ALL,0.3142685731426857,NOT_SIGNIFICANT
