species,feature,landmark,n_feature_intervals_merged,n_landmark_intervals_merged,observed_median_distance_nt,observed_mean_distance_nt,observed_overlap_fraction,null_median_distance_nt,null_median_q025,null_median_q975,null_mean_distance_nt,null_overlap_fraction,median_distance_shift_nt,perm_p_two_sided,perm_p_closer,perm_p_farther,effect_direction,fdr_family,FDR_BH,result
D.melanogaster,CLEAVAGE,PAS,12,9,22.0,44.416666666666664,0.16666666666666666,28.5,11.5,51.0,36.166666666666664,0.08333333333333333,-6.5,0.529047095290471,0.24287571242875713,0.7732226777322267,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|CLEAVAGE,0.529047095290471,NOT_SIGNIFICANT
D.melanogaster,DSE,CLEAVAGE,7,12,6.0,9.714285714285714,0.0,18.0,4.0,41.0,21.714285714285715,0.14285714285714285,-12.0,0.1832816718328167,0.0634936506349365,0.9559044095590441,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|DSE,0.3665633436656334,NOT_SIGNIFICANT
D.melanogaster,DSE,PAS,7,9,19.0,33.57142857142857,0.0,26.0,4.0,57.0,32.857142857142854,0.14285714285714285,-7.0,0.6303369663033697,0.3040695930406959,0.7224277572242775,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|DSE,0.6303369663033697,NOT_SIGNIFICANT
D.melanogaster,MIRNA_ALL,PAS,39,9,20.0,24.05128205128205,0.2564102564102564,23.0,13.0,35.0,31.512820512820515,0.15384615384615385,-3.0,0.6665333466653335,0.3160683931606839,0.7449255074492551,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|MIRNA_ALL,1.0,NOT_SIGNIFICANT
D.melanogaster,MIRNA_ALL,CLEAVAGE,39,12,15.0,21.53846153846154,0.1282051282051282,15.0,8.0,24.0,19.692307692307693,0.15384615384615385,0.0,1.0,0.5351464853514648,0.5627437256274372,NEUTRAL,D.melanogaster|DISTANCE_PANEL|MIRNA_ALL,1.0,NOT_SIGNIFICANT
D.melanogaster,MIRNA_CONSERVED,PAS,6,9,12.0,18.0,0.3333333333333333,26.0,4.5,57.51249999999982,32.0,0.16666666666666666,-14.0,0.29817018298170184,0.13018698130186981,0.88001199880012,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|MIRNA_CONSERVED,0.5963403659634037,NOT_SIGNIFICANT
D.melanogaster,MIRNA_CONSERVED,CLEAVAGE,6,12,19.0,24.0,0.0,17.5,4.0,40.0,21.0,0.16666666666666666,1.5,0.8917108289171083,0.573942605739426,0.45035496450354967,FARTHER_FROM_LANDMARK,D.melanogaster|DISTANCE_PANEL|MIRNA_CONSERVED,0.8917108289171083,NOT_SIGNIFICANT
D.melanogaster,MIRNA_WEAK,PAS,37,9,21.0,25.45945945945946,0.24324324324324326,23.0,12.0,36.0,31.56756756756757,0.16216216216216217,-2.0,0.7999200079992,0.38236176382361764,0.6813318668133187,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|MIRNA_WEAK,0.9005099490050995,NOT_SIGNIFICANT
D.melanogaster,MIRNA_WEAK,CLEAVAGE,37,12,14.0,21.486486486486488,0.13513513513513514,15.0,8.0,24.0,19.7027027027027,0.16216216216216217,-1.0,0.9005099490050995,0.43865613438656137,0.6616338366163383,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|MIRNA_WEAK,0.9005099490050995,NOT_SIGNIFICANT
D.melanogaster,PAS,CLEAVAGE,9,12,17.0,16.333333333333332,0.2222222222222222,17.0,5.0,37.0,21.444444444444443,0.1111111111111111,0.0,1.0,0.5062493750624938,0.5462453754624538,NEUTRAL,D.melanogaster|DISTANCE_PANEL|PAS,1.0,NOT_SIGNIFICANT
D.melanogaster,UGUA,PAS,11,9,21.0,26.818181818181817,0.09090909090909091,27.0,9.0,51.0,34.54545454545455,0.09090909090909091,-6.0,0.6163383661633837,0.29247075292470753,0.7415258474152585,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|UGUA,0.9447055294470553,NOT_SIGNIFICANT
D.melanogaster,UGUA,CLEAVAGE,11,12,18.0,14.363636363636363,0.18181818181818182,19.0,7.0,36.0,22.545454545454547,0.09090909090909091,-1.0,0.9447055294470553,0.49865013498650135,0.5665433456654334,CLOSER_TO_LANDMARK,D.melanogaster|DISTANCE_PANEL|UGUA,0.9447055294470553,NOT_SIGNIFICANT
