IEL_ID,region_id,species,alignment37_start,alignment37_end,alignment37_length,IEL_alignment3_start,IEL_alignment3_end,IEL_alignment3_length,IEL_alignment3_label,IEL_projection_class,IEL_support_type,IEL_projection_resolved,n_deletion_events,n_insertion_events,n_all_pairs,n_informative_topological_pairs,n_independent_recurrent_pairs,n_probable_ancestral_remodeling_pairs,n_ambiguous_ancestral_pairs,independent_fraction,remodeling_fraction,IEL_local_composition,IEL_topological_hotspot_class,ecm_n_overlap,ecm_overlap_ids,ecm_overlap_subtypes,ecm_overlap_relations,ecm_overlap_total_length,ecm_nearest_id,ecm_nearest_subtype,ecm_nearest_distance,ecm_nearest_relation,ecm_left_id,ecm_left_subtype,ecm_left_distance,ecm_right_id,ecm_right_subtype,ecm_right_distance,mast_nearest_distance,mast_n_within_25,ugua_n_overlap,ugua_overlap_ids,ugua_overlap_subtypes,ugua_overlap_relations,ugua_overlap_total_length,ugua_nearest_id,ugua_nearest_subtype,ugua_nearest_distance,ugua_nearest_relation,ugua_left_id,ugua_left_subtype,ugua_left_distance,ugua_right_id,ugua_right_subtype,ugua_right_distance,pas_n_overlap,pas_overlap_ids,pas_overlap_subtypes,pas_overlap_relations,pas_overlap_total_length,pas_nearest_id,pas_nearest_subtype,pas_nearest_distance,pas_nearest_relation,pas_left_id,pas_left_subtype,pas_left_distance,pas_right_id,pas_right_subtype,pas_right_distance,cleavage_n_overlap,cleavage_overlap_ids,cleavage_overlap_subtypes,cleavage_nearest_id,cleavage_nearest_subtype,cleavage_nearest_distance,cleavage_nearest_side,cleavage_nearest_boundary,dse_n_overlap,dse_overlap_ids,dse_overlap_subtypes,dse_overlap_relations,dse_overlap_total_length,dse_nearest_id,dse_nearest_subtype,dse_nearest_distance,dse_nearest_relation,dse_left_id,dse_left_subtype,dse_left_distance,dse_right_id,dse_right_subtype,dse_right_distance,structure_mfe_n_overlap,structure_mfe_overlap_types,structure_mfe_overlap_ids,structure_mfe_primary_type,structure_mfe_primary_relation,structure_mfe_nearest_type,structure_mfe_nearest_id,structure_mfe_nearest_distance,structure_mfe_boundary_distance,structure_mfe_near_boundary,structure_centroid_n_overlap,structure_centroid_overlap_types,structure_centroid_overlap_ids,structure_centroid_primary_type,structure_centroid_primary_relation,structure_centroid_nearest_type,structure_centroid_nearest_id,structure_centroid_nearest_distance,structure_centroid_boundary_distance,structure_centroid_near_boundary,ECM_context,APA_feature_profile,APA_context_class,structure_consensus_type,structure_model_agreement,architectural_formula,architectural_domain_class
IEL_001,0,D.melanogaster,1,1,1,2,2,1,<2,before_sequence,label_point,True,4,1,,,0,,,,,mixed_deletion_insertion,exact_coordinate_hotspot,1,Ras85D_EBC_MEL_ECM_0001,ECM_15,inside_at_left_boundary,1,Ras85D_EBC_MEL_ECM_0001,ECM_15,0,inside_at_left_boundary,,,,Ras85D_EBC_MEL_ECM_0002,ECM_07,43,,0,0,,,,0,Ras85D_EBC_MEL_UGUA_0001,UGUA,57,upstream,,,,Ras85D_EBC_MEL_UGUA_0001,UGUA,57,0,,,,0,Ras85D_EBC_MEL_PAS_0001,1.5,217,upstream,,,,Ras85D_EBC_MEL_PAS_0001,1.5,217,0,,,Ras85D_EBC_MEL_CLV_0001,weak,3,upstream,5|5,0,,,,0,Ras85D_EBC_MEL_DSE_0001,down-st,26,upstream,,,,Ras85D_EBC_MEL_DSE_0001,down-st,26,1,exterior,Ras85D_CTX_MEL_MFE_EXTERIOR_0001,exterior,inside_at_left_boundary,exterior,Ras85D_CTX_MEL_MFE_EXTERIOR_0001,0,0,True,1,exterior,Ras85D_CTX_MEL_CENTROID_EXTERIOR_0001,exterior,inside_at_left_boundary,exterior,Ras85D_CTX_MEL_CENTROID_EXTERIOR_0001,0,0,True,inside_ECM,CLEAVAGE,partial_APA_neighborhood,exterior,MFE_centroid_agreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_001,0,D.yakuba,1,1,1,2,2,1,<2,before_sequence,label_point,True,4,1,,,0,,,,,mixed_deletion_insertion,exact_coordinate_hotspot,1,Ras85D_EBC_YAK_ECM_0001,ECM_15,inside_at_left_boundary,1,Ras85D_EBC_YAK_ECM_0001,ECM_15,0,inside_at_left_boundary,,,,Ras85D_EBC_YAK_ECM_0002,ECM_07,43,,0,0,,,,0,Ras85D_EBC_YAK_UGUA_0001,UGUA,57,upstream,,,,Ras85D_EBC_YAK_UGUA_0001,UGUA,57,0,,,,0,Ras85D_EBC_YAK_PAS_0001,1.5,221,upstream,,,,Ras85D_EBC_YAK_PAS_0001,1.5,221,0,,,Ras85D_EBC_YAK_CLV_0001,weak,4,upstream,6|6,0,,,,0,Ras85D_EBC_YAK_DSE_0001,down-st,26,upstream,,,,Ras85D_EBC_YAK_DSE_0001,down-st,26,1,exterior,Ras85D_CTX_YAK_MFE_EXTERIOR_0001,exterior,inside_at_left_boundary,exterior,Ras85D_CTX_YAK_MFE_EXTERIOR_0001,0,0,True,1,exterior,Ras85D_CTX_YAK_CENTROID_EXTERIOR_0001,exterior,inside_at_left_boundary,exterior,Ras85D_CTX_YAK_CENTROID_EXTERIOR_0001,0,0,True,inside_ECM,CLEAVAGE,partial_APA_neighborhood,exterior,MFE_centroid_agreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_001,0,D.virilis,1,1,1,2,2,1,<2,before_sequence,label_point,True,4,1,,,0,,,,,mixed_deletion_insertion,exact_coordinate_hotspot,1,Ras85D_EBC_VIR_ECM_0001,ECM_15,inside_at_left_boundary,1,Ras85D_EBC_VIR_ECM_0001,ECM_15,0,inside_at_left_boundary,,,,Ras85D_EBC_VIR_ECM_0002,ECM_07,41,,0,0,,,,0,Ras85D_EBC_VIR_UGUA_0001,UGUA,57,upstream,,,,Ras85D_EBC_VIR_UGUA_0001,UGUA,57,0,,,,0,Ras85D_EBC_VIR_PAS_0001,2.5,88,upstream,,,,Ras85D_EBC_VIR_PAS_0001,2.5,88,0,,,Ras85D_EBC_VIR_CLV_0001,weak,111,upstream,113|113,0,,,,0,Ras85D_EBC_VIR_DSE_0001,down-st,25,upstream,,,,Ras85D_EBC_VIR_DSE_0001,down-st,25,1,stem,Ras85D_CTX_VIR_MFE_STEM_0001,stem,inside_at_left_boundary,stem,Ras85D_CTX_VIR_MFE_STEM_0001,0,0,True,1,exterior,Ras85D_CTX_VIR_CENTROID_EXTERIOR_0001,exterior,inside_at_left_boundary,exterior,Ras85D_CTX_VIR_CENTROID_EXTERIOR_0001,0,0,True,inside_ECM,DSE,partial_APA_neighborhood,MFE:stem|centroid:exterior,MFE_centroid_disagreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_002,1,D.melanogaster,81,84,4,56,57,2,56|57,between_columns,between_columns,True,7,1,,,14,,,1.0,,mixed_deletion_insertion,recurrent_breakpoint_hotspot,1,Ras85D_EBC_MEL_ECM_0002,ECM_07,inside,2,Ras85D_EBC_MEL_ECM_0002,ECM_07,0,inside,Ras85D_EBC_MEL_ECM_0001,ECM_15,25,Ras85D_EBC_MEL_ECM_0003,ECM_10,138,,0,0,,,,0,Ras85D_EBC_MEL_UGUA_0001,UGUA,2,upstream,,,,Ras85D_EBC_MEL_UGUA_0001,UGUA,2,0,,,,0,Ras85D_EBC_MEL_PAS_0001,1.5,162,upstream,,,,Ras85D_EBC_MEL_PAS_0001,1.5,162,0,,,Ras85D_EBC_MEL_CLV_0002,weak,16,downstream,40|40,0,,,,0,Ras85D_EBC_MEL_DSE_0001,down-st,22,downstream,Ras85D_EBC_MEL_DSE_0001,down-st,22,Ras85D_EBC_MEL_DSE_0002,down-st,507,1,stem,Ras85D_CTX_MEL_MFE_STEM_0007,stem,inside_at_right_boundary,stem,Ras85D_CTX_MEL_MFE_STEM_0007,0,0,True,1,stem,Ras85D_CTX_MEL_CENTROID_STEM_0004,stem,inside_at_right_boundary,stem,Ras85D_CTX_MEL_CENTROID_STEM_0004,0,0,True,inside_ECM,UGUA+CLEAVAGE+DSE,cleavage_DSE_neighborhood,stem,MFE_centroid_agreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_002,1,D.yakuba,81,84,4,56,57,2,56|57,between_columns,between_columns,True,7,1,,,14,,,1.0,,mixed_deletion_insertion,recurrent_breakpoint_hotspot,1,Ras85D_EBC_YAK_ECM_0002,ECM_07,inside,2,Ras85D_EBC_YAK_ECM_0002,ECM_07,0,inside,Ras85D_EBC_YAK_ECM_0001,ECM_15,25,Ras85D_EBC_YAK_ECM_0003,ECM_10,138,,0,0,,,,0,Ras85D_EBC_YAK_UGUA_0001,UGUA,2,upstream,,,,Ras85D_EBC_YAK_UGUA_0001,UGUA,2,0,,,,0,Ras85D_EBC_YAK_PAS_0001,1.5,166,upstream,,,,Ras85D_EBC_YAK_PAS_0001,1.5,166,0,,,Ras85D_EBC_YAK_CLV_0001,weak,50,downstream,6|6,0,,,,0,Ras85D_EBC_YAK_DSE_0001,down-st,22,downstream,Ras85D_EBC_YAK_DSE_0001,down-st,22,Ras85D_EBC_YAK_DSE_0002,down-st,143,1,stem,Ras85D_CTX_YAK_MFE_STEM_0007,stem,inside_at_right_boundary,stem,Ras85D_CTX_YAK_MFE_STEM_0007,0,0,True,1,multiloop,Ras85D_CTX_YAK_CENTROID_MULTILOOP_0001,multiloop,inside,multiloop,Ras85D_CTX_YAK_CENTROID_MULTILOOP_0001,0,11,False,inside_ECM,UGUA+DSE,partial_APA_neighborhood,MFE:stem|centroid:multiloop,MFE_centroid_disagreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_002,1,D.virilis,81,84,4,56,57,2,56|57,between_columns,between_columns,True,7,1,,,14,,,1.0,,mixed_deletion_insertion,recurrent_breakpoint_hotspot,1,Ras85D_EBC_VIR_ECM_0002,ECM_07,inside,2,Ras85D_EBC_VIR_ECM_0002,ECM_07,0,inside,Ras85D_EBC_VIR_ECM_0001,ECM_15,20,Ras85D_EBC_VIR_ECM_0003,ECM_11,103,,0,0,,,,0,Ras85D_EBC_VIR_UGUA_0001,UGUA,2,upstream,,,,Ras85D_EBC_VIR_UGUA_0001,UGUA,2,0,,,,0,Ras85D_EBC_VIR_PAS_0001,2.5,33,upstream,,,,Ras85D_EBC_VIR_PAS_0001,2.5,33,0,,,Ras85D_EBC_VIR_CLV_0001,weak,56,upstream,113|113,0,,,,0,Ras85D_EBC_VIR_DSE_0001,down-st,24,downstream,Ras85D_EBC_VIR_DSE_0001,down-st,24,Ras85D_EBC_VIR_DSE_0002,down-st,57,1,stem,Ras85D_CTX_VIR_MFE_STEM_0005,stem,inside,stem,Ras85D_CTX_VIR_MFE_STEM_0005,0,1,True,1,internal_loop,Ras85D_CTX_VIR_CENTROID_INTERNAL_LOOP_0001,internal_loop,inside,internal_loop,Ras85D_CTX_VIR_CENTROID_INTERNAL_LOOP_0001,0,5,False,inside_ECM,UGUA+DSE,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,MFE_centroid_disagreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_003,2,D.melanogaster,92,93,2,56,57,2,56|57,between_columns,between_columns,True,7,1,,,10,,,1.0,,mixed_deletion_insertion,recurrent_breakpoint_hotspot,1,Ras85D_EBC_MEL_ECM_0002,ECM_07,inside,2,Ras85D_EBC_MEL_ECM_0002,ECM_07,0,inside,Ras85D_EBC_MEL_ECM_0001,ECM_15,25,Ras85D_EBC_MEL_ECM_0003,ECM_10,138,,0,0,,,,0,Ras85D_EBC_MEL_UGUA_0001,UGUA,2,upstream,,,,Ras85D_EBC_MEL_UGUA_0001,UGUA,2,0,,,,0,Ras85D_EBC_MEL_PAS_0001,1.5,162,upstream,,,,Ras85D_EBC_MEL_PAS_0001,1.5,162,0,,,Ras85D_EBC_MEL_CLV_0002,weak,16,downstream,40|40,0,,,,0,Ras85D_EBC_MEL_DSE_0001,down-st,22,downstream,Ras85D_EBC_MEL_DSE_0001,down-st,22,Ras85D_EBC_MEL_DSE_0002,down-st,507,1,stem,Ras85D_CTX_MEL_MFE_STEM_0007,stem,inside_at_right_boundary,stem,Ras85D_CTX_MEL_MFE_STEM_0007,0,0,True,1,stem,Ras85D_CTX_MEL_CENTROID_STEM_0004,stem,inside_at_right_boundary,stem,Ras85D_CTX_MEL_CENTROID_STEM_0004,0,0,True,inside_ECM,UGUA+CLEAVAGE+DSE,cleavage_DSE_neighborhood,stem,MFE_centroid_agreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_003,2,D.yakuba,92,93,2,56,57,2,56|57,between_columns,between_columns,True,7,1,,,10,,,1.0,,mixed_deletion_insertion,recurrent_breakpoint_hotspot,1,Ras85D_EBC_YAK_ECM_0002,ECM_07,inside,2,Ras85D_EBC_YAK_ECM_0002,ECM_07,0,inside,Ras85D_EBC_YAK_ECM_0001,ECM_15,25,Ras85D_EBC_YAK_ECM_0003,ECM_10,138,,0,0,,,,0,Ras85D_EBC_YAK_UGUA_0001,UGUA,2,upstream,,,,Ras85D_EBC_YAK_UGUA_0001,UGUA,2,0,,,,0,Ras85D_EBC_YAK_PAS_0001,1.5,166,upstream,,,,Ras85D_EBC_YAK_PAS_0001,1.5,166,0,,,Ras85D_EBC_YAK_CLV_0001,weak,50,downstream,6|6,0,,,,0,Ras85D_EBC_YAK_DSE_0001,down-st,22,downstream,Ras85D_EBC_YAK_DSE_0001,down-st,22,Ras85D_EBC_YAK_DSE_0002,down-st,143,1,stem,Ras85D_CTX_YAK_MFE_STEM_0007,stem,inside_at_right_boundary,stem,Ras85D_CTX_YAK_MFE_STEM_0007,0,0,True,1,multiloop,Ras85D_CTX_YAK_CENTROID_MULTILOOP_0001,multiloop,inside,multiloop,Ras85D_CTX_YAK_CENTROID_MULTILOOP_0001,0,11,False,inside_ECM,UGUA+DSE,partial_APA_neighborhood,MFE:stem|centroid:multiloop,MFE_centroid_disagreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_003,2,D.virilis,92,93,2,56,57,2,56|57,between_columns,between_columns,True,7,1,,,10,,,1.0,,mixed_deletion_insertion,recurrent_breakpoint_hotspot,1,Ras85D_EBC_VIR_ECM_0002,ECM_07,inside,2,Ras85D_EBC_VIR_ECM_0002,ECM_07,0,inside,Ras85D_EBC_VIR_ECM_0001,ECM_15,20,Ras85D_EBC_VIR_ECM_0003,ECM_11,103,,0,0,,,,0,Ras85D_EBC_VIR_UGUA_0001,UGUA,2,upstream,,,,Ras85D_EBC_VIR_UGUA_0001,UGUA,2,0,,,,0,Ras85D_EBC_VIR_PAS_0001,2.5,33,upstream,,,,Ras85D_EBC_VIR_PAS_0001,2.5,33,0,,,Ras85D_EBC_VIR_CLV_0001,weak,56,upstream,113|113,0,,,,0,Ras85D_EBC_VIR_DSE_0001,down-st,24,downstream,Ras85D_EBC_VIR_DSE_0001,down-st,24,Ras85D_EBC_VIR_DSE_0002,down-st,57,1,stem,Ras85D_CTX_VIR_MFE_STEM_0005,stem,inside,stem,Ras85D_CTX_VIR_MFE_STEM_0005,0,1,True,1,internal_loop,Ras85D_CTX_VIR_CENTROID_INTERNAL_LOOP_0001,internal_loop,inside,internal_loop,Ras85D_CTX_VIR_CENTROID_INTERNAL_LOOP_0001,0,5,False,inside_ECM,UGUA+DSE,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,MFE_centroid_disagreement,ECM+APA+RNA_STRUCTURE,composite_ECM_APA_structure_domain
IEL_004,3,D.melanogaster,121,126,6,80,81,2,80|81,between_columns,between_columns,True,13,2,,,31,,,1.0,,mixed_deletion_insertion,complex_mosaic_hotspot,0,,,,0,Ras85D_EBC_MEL_ECM_0002,ECM_07,6,downstream,Ras85D_EBC_MEL_ECM_0002,ECM_07,6,Ras85D_EBC_MEL_ECM_0003,ECM_10,114,,0,0,,,,0,Ras85D_EBC_MEL_UGUA_0001,UGUA,18,downstream,Ras85D_EBC_MEL_UGUA_0001,UGUA,18,Ras85D_EBC_MEL_UGUA_0002,UGUA,159,0,,,,0,Ras85D_EBC_MEL_PAS_0001,1.5,138,upstream,,,,Ras85D_EBC_MEL_PAS_0001,1.5,138,0,,,Ras85D_EBC_MEL_CLV_0002,weak,40,downstream,40|40,0,,,,0,Ras85D_EBC_MEL_DSE_0001,down-st,46,downstream,Ras85D_EBC_MEL_DSE_0001,down-st,46,Ras85D_EBC_MEL_DSE_0002,down-st,483,1,stem,Ras85D_CTX_MEL_MFE_STEM_0010,stem,inside,stem,Ras85D_CTX_MEL_MFE_STEM_0010,0,2,True,1,stem,Ras85D_CTX_MEL_CENTROID_STEM_0007,stem,inside,stem,Ras85D_CTX_MEL_CENTROID_STEM_0007,0,2,True,ECM_interface,UGUA,partial_APA_neighborhood,stem,MFE_centroid_agreement,ECM_INTERFACE+APA+RNA_STRUCTURE,composite_interface_APA_structure_domain
