ECM_group,species,start,end,length,orientation,presence_status,coordinate_status
ECM_15,D. melanogaster,1,30,30,forward,PRESENT,VALID
ECM_15,D. yakuba,1,30,30,forward,PRESENT,VALID
ECM_15,D. virilis,1,30,30,forward,PRESENT,VALID
ECM_07,D. melanogaster,44,73,30,forward,PRESENT,VALID
ECM_07,D. yakuba,44,73,30,forward,PRESENT,VALID
ECM_07,D. virilis,36,65,30,forward,PRESENT,VALID
ECM_10,D. melanogaster,144,172,29,forward,PRESENT,VALID
ECM_10,D. yakuba,144,172,29,forward,PRESENT,VALID
ECM_10,D. virilis,185,213,29,forward,PRESENT,VALID
ECM_05,D. melanogaster,185,214,30,forward,PRESENT,VALID
ECM_05,D. yakuba,185,214,30,forward,PRESENT,VALID
ECM_05,D. virilis,225,254,30,forward,PRESENT,VALID
ECM_11,D. melanogaster,230,258,29,forward,PRESENT,VALID
ECM_11,D. yakuba,230,258,29,forward,PRESENT,VALID
ECM_11,D. virilis,150,178,29,reverse_complement,PRESENT,VALID
ECM_04,D. melanogaster,259,288,30,forward,PRESENT,VALID
ECM_04,D. yakuba,259,288,30,forward,PRESENT,VALID
ECM_04,D. virilis,285,314,30,forward,PRESENT,VALID
ECM_17,D. melanogaster,289,317,29,forward,PRESENT,VALID
ECM_17,D. yakuba,289,317,29,forward,PRESENT,VALID
ECM_16,D. melanogaster,324,352,29,forward,PRESENT,VALID
ECM_16,D. yakuba,324,352,29,forward,PRESENT,VALID
ECM_02,D. melanogaster,372,401,30,forward,PRESENT,VALID
ECM_02,D. yakuba,372,401,30,forward,PRESENT,VALID
ECM_02,D. virilis,359,388,30,forward,PRESENT,VALID
ECM_12,D. melanogaster,403,432,30,forward,PRESENT,VALID
ECM_12,D. yakuba,403,432,30,forward,PRESENT,VALID
ECM_12,D. virilis,407,436,30,forward,PRESENT,VALID
ECM_06,D. melanogaster,572,601,30,forward,PRESENT,VALID
ECM_06,D. yakuba,572,601,30,forward,PRESENT,VALID
ECM_06,D. virilis,637,666,30,forward,PRESENT,VALID
ECM_14,D. melanogaster,707,736,30,forward,PRESENT,VALID
ECM_14,D. yakuba,707,736,30,forward,PRESENT,VALID
ECM_14,D. virilis,718,747,30,forward,PRESENT,VALID
ECM_13,D. melanogaster,767,795,29,forward,PRESENT,VALID
ECM_13,D. yakuba,767,795,29,forward,PRESENT,VALID
ECM_13,D. virilis,805,833,29,forward,PRESENT,VALID
ECM_08,D. melanogaster,803,832,30,forward,PRESENT,VALID
ECM_08,D. yakuba,803,832,30,forward,PRESENT,VALID
ECM_08,D. virilis,991,1020,30,forward,PRESENT,VALID
ECM_01,D. melanogaster,837,866,30,forward,PRESENT,VALID
ECM_01,D. yakuba,837,866,30,forward,PRESENT,VALID
ECM_01,D. virilis,1024,1053,30,forward,PRESENT,VALID
ECM_03,D. melanogaster,888,917,30,forward,PRESENT,VALID
ECM_03,D. yakuba,888,917,30,forward,PRESENT,VALID
ECM_03,D. virilis,1071,1100,30,forward,PRESENT,VALID
ECM_09,D. melanogaster,919,948,30,forward,PRESENT,VALID
ECM_09,D. yakuba,919,948,30,forward,PRESENT,VALID
ECM_09,D. virilis,1102,1131,30,forward,PRESENT,VALID
