IEL_ID,region_id,alignment37_start,alignment37_end,alignment37_length,n_deletion_events,n_insertion_events,n_independent_recurrent_pairs,independent_fraction,IEL_local_composition,IEL_topological_hotspot_class,hotspot_geometry_class
IEL_001,0,1,1,1,4,1,0,,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_002,1,81,84,4,7,1,14,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_003,2,92,93,2,7,1,10,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_004,3,121,126,6,13,2,31,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,complex_mosaic_hotspot
IEL_005,4,223,225,3,10,1,18,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,mixed_recurrent_and_nested
IEL_006,5,236,239,4,10,1,41,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_007,6,242,243,2,8,2,16,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_008,7,285,288,4,9,2,25,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,complex_mosaic_hotspot
IEL_009,8,329,330,2,9,1,16,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_010,9,346,351,6,11,1,30,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_011,10,371,373,3,13,2,29,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_012,11,397,400,4,8,2,0,,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_013,12,445,450,6,9,1,20,1.0,mixed_deletion_insertion,recurrent_deletion_hotspot,recurrent_deletion_hotspot
IEL_014,13,684,688,5,11,2,17,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_015,14,912,916,5,8,1,14,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_016,15,957,959,3,11,1,35,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_017,16,989,991,3,9,1,5,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,mixed_recurrent_and_nested
IEL_018,17,1022,1023,2,7,1,13,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_019,18,1169,1188,20,8,1,24,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_020,19,1224,1224,1,7,1,11,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
IEL_021,20,1228,1228,1,7,1,5,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,mixed_recurrent_and_nested
IEL_022,21,1245,1245,1,7,1,4,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_023,22,1291,1291,1,9,1,0,,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_024,23,1305,1306,2,11,1,28,1.0,mixed_deletion_insertion,recurrent_deletion_hotspot,recurrent_deletion_hotspot
IEL_025,24,1333,1333,1,10,1,15,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,mixed_recurrent_and_nested
IEL_026,25,1338,1347,10,16,1,61,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,complex_mosaic_hotspot
IEL_027,26,1375,1375,1,9,1,22,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,complex_mosaic_hotspot
IEL_028,27,1463,1465,3,10,2,28,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,complex_mosaic_hotspot
IEL_029,28,1555,1556,2,9,1,0,,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_030,29,1584,1584,1,14,1,26,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,mixed_recurrent_and_nested
IEL_031,30,1621,1622,2,8,1,7,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_032,31,2093,2093,1,7,1,6,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_033,32,2232,2232,1,9,1,8,1.0,mixed_deletion_insertion,exact_coordinate_hotspot,exact_coordinate_hotspot
IEL_034,33,2238,2247,10,11,2,41,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,recurrent_breakpoint_hotspot
