taxon	aligned_length_full	aligned_length_analytical	full_ungapped_length	analytical_ungapped_length	excluded_distal_ungapped_length	full_gap_count	analytical_gap_count
D.erecta	2276	2247	984	958	26	1292	1289
D.yakuba	2276	2247	968	942	26	1308	1305
D.sechellia	2276	2247	965	943	22	1311	1304
D.simulans	2276	2247	963	941	22	1313	1306
D.melanogaster	2276	2247	964	942	22	1312	1305
D.rhopaloa	2276	2247	964	938	26	1312	1309
D.ficusphila	2276	2247	960	934	26	1316	1313
D.biarmipes	2276	2247	939	929	10	1337	1318
D.takahashii	2276	2247	966	940	26	1310	1307
D.elegans	2276	2247	954	928	26	1322	1319
D.suzukii	2276	2247	949	944	5	1327	1303
D.eugracilis	2276	2247	947	921	26	1329	1326
D.obscura	2276	2247	1093	1066	27	1183	1181
D.pseudoobscura	2276	2247	1071	1055	16	1205	1192
D.persimilis	2276	2247	1075	1059	16	1201	1188
D.ananassae	2276	2247	1037	1023	14	1239	1224
D.bipectinata	2276	2247	1031	1004	27	1245	1243
D.kikkawai	2276	2247	984	963	21	1292	1284
D.serrata	2276	2247	991	980	11	1285	1267
D.willistoni	2276	2247	1063	1047	16	1213	1200
S.lebanonensis	2276	2247	784	761	23	1492	1486
D.busckii	2276	2247	1328	1301	27	948	946
D.albomicans	2276	2247	1306	1280	26	970	967
D.hydei	2276	2247	1211	1202	9	1065	1045
D.navojoa	2276	2247	1237	1215	22	1039	1032
D.mojavensis	2276	2247	1239	1220	19	1037	1027
D.grimshawi	2276	2247	1443	1422	21	833	825
D.montana	2276	2247	1172	1146	26	1104	1101
D.borealis	2276	2247	1300	1274	26	976	973
D.flavomontana	2276	2247	1225	1199	26	1051	1048
D.kanekoi	2276	2247	1184	1159	25	1092	1088
D.ezoana	2276	2247	1169	1144	25	1107	1103
D.littoralis	2276	2247	1177	1152	25	1099	1095
D.virilis	2276	2247	1150	1125	25	1126	1122
D.lummei	2276	2247	1157	1132	25	1119	1115
D.americana	2276	2247	1157	1132	25	1119	1115
D.novamexicana	2276	2247	1154	1129	25	1122	1118
