IEL_ID,region_id,alignment37_start,alignment37_end,alignment37_length,alignment37_center,dmel_locus_id,dmel_location_label,dmel_mapping_class,n_evolutionary_IEL_at_locus,within_dmel_3UTR
IEL_001,0,1,1,1,1.0,Dmel_locus_01,<1,before_dmel_start,1,False
IEL_002,1,81,84,4,82.5,Dmel_locus_02,55|56,between_dmel_bases,2,True
IEL_003,2,92,93,2,92.5,Dmel_locus_02,55|56,between_dmel_bases,2,True
IEL_004,3,121,126,6,123.5,Dmel_locus_03,79|80,between_dmel_bases,1,True
IEL_005,4,223,225,3,224.0,Dmel_locus_04,93|94,between_dmel_bases,1,True
IEL_006,5,236,239,4,237.5,Dmel_locus_05,103|104,between_dmel_bases,2,True
IEL_007,6,242,243,2,242.5,Dmel_locus_05,103|104,between_dmel_bases,2,True
IEL_008,7,285,288,4,286.5,Dmel_locus_06,123|124,between_dmel_bases,1,True
IEL_009,8,329,330,2,329.5,Dmel_locus_07,128|129,between_dmel_bases,2,True
IEL_010,9,346,351,6,348.5,Dmel_locus_07,128|129,between_dmel_bases,2,True
IEL_011,10,371,373,3,372.0,Dmel_locus_08,142|143,between_dmel_bases,1,True
IEL_012,11,397,400,4,398.5,Dmel_locus_09,155|156,between_dmel_bases,1,True
IEL_013,12,445,450,6,447.5,Dmel_locus_10,181|182,between_dmel_bases,1,True
IEL_014,13,684,688,5,686.0,Dmel_locus_11,341|342,between_dmel_bases,1,True
IEL_015,14,912,916,5,914.0,Dmel_locus_12,464|465,between_dmel_bases,1,True
IEL_016,15,957,959,3,958.0,Dmel_locus_13,497|498,between_dmel_bases,1,True
IEL_017,16,989,991,3,990.0,Dmel_locus_14,521|522,between_dmel_bases,1,True
IEL_018,17,1022,1023,2,1022.5,Dmel_locus_15,537|538,between_dmel_bases,4,True
IEL_019,18,1169,1188,20,1178.5,Dmel_locus_15,537|538,between_dmel_bases,4,True
IEL_020,19,1224,1224,1,1224.0,Dmel_locus_15,537|538,between_dmel_bases,4,True
IEL_021,20,1228,1228,1,1228.0,Dmel_locus_15,537|538,between_dmel_bases,4,True
IEL_022,21,1245,1245,1,1245.0,Dmel_locus_16,544,direct,1,True
IEL_023,22,1291,1291,1,1291.0,Dmel_locus_17,588|589,between_dmel_bases,1,True
IEL_024,23,1305,1306,2,1305.5,Dmel_locus_18,601|602,between_dmel_bases,1,True
IEL_025,24,1333,1333,1,1333.0,Dmel_locus_19,619,direct,1,True
IEL_026,25,1338,1347,10,1342.5,Dmel_locus_20,624-628,partially_gapped,1,True
IEL_027,26,1375,1375,1,1375.0,Dmel_locus_21,631|632,between_dmel_bases,1,True
IEL_028,27,1463,1465,3,1464.0,Dmel_locus_22,704|705,between_dmel_bases,1,True
IEL_029,28,1555,1556,2,1555.5,Dmel_locus_23,761|762,between_dmel_bases,2,True
IEL_030,29,1584,1584,1,1584.0,Dmel_locus_23,761|762,between_dmel_bases,2,True
IEL_031,30,1621,1622,2,1621.5,Dmel_locus_24,791|792,between_dmel_bases,1,True
IEL_032,31,2093,2093,1,2093.0,Dmel_locus_25,887|888,between_dmel_bases,1,True
IEL_033,32,2232,2232,1,2232.0,Dmel_locus_26,953|954,between_dmel_bases,1,True
IEL_034,33,2238,2247,10,2242.5,Dmel_locus_27,959-964,partially_gapped,1,True
