IEL_ID,region_id,alignment37_start,alignment37_end,alignment37_length,n_deletion_events,n_insertion_events,n_independent_recurrent_pairs,independent_fraction,IEL_local_composition,IEL_topological_hotspot_class,n_species_resolved,species_resolved,cross_species_domain_consensus,architectural_domain_classes,architectural_formulas,ECM_contexts,APA_context_classes,structure_consensus_types,n_species_ECM_overlap,n_species_APA_near,n_species_structure_overlap,Dmel_alignment3_label,Dmel_ECM_context,Dmel_APA_context,Dmel_structure_type,Dmel_domain_class,Dyak_alignment3_label,Dyak_ECM_context,Dyak_APA_context,Dyak_structure_type,Dyak_domain_class,Dvir_alignment3_label,Dvir_ECM_context,Dvir_APA_context,Dvir_structure_type,Dvir_domain_class
IEL_001,0,1,1,1,4,1,0,,mixed_deletion_insertion,exact_coordinate_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:exterior;exterior,3,3,3,<2,inside_ECM,partial_APA_neighborhood,exterior,composite_ECM_APA_structure_domain,<2,inside_ECM,partial_APA_neighborhood,exterior,composite_ECM_APA_structure_domain,<2,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:exterior,composite_ECM_APA_structure_domain
IEL_002,1,81,84,4,7,1,14,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,inside_ECM,cleavage_DSE_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:internal_loop;MFE:stem|centroid:multiloop;stem,3,3,3,56|57,inside_ECM,cleavage_DSE_neighborhood,stem,composite_ECM_APA_structure_domain,56|57,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:multiloop,composite_ECM_APA_structure_domain,56|57,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,composite_ECM_APA_structure_domain
IEL_003,2,92,93,2,7,1,10,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE,inside_ECM,cleavage_DSE_neighborhood;partial_APA_neighborhood,MFE:stem|centroid:internal_loop;MFE:stem|centroid:multiloop;stem,3,3,3,56|57,inside_ECM,cleavage_DSE_neighborhood,stem,composite_ECM_APA_structure_domain,56|57,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:multiloop,composite_ECM_APA_structure_domain,56|57,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,composite_ECM_APA_structure_domain
IEL_004,3,121,126,6,13,2,31,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,3,D.melanogaster;D.virilis;D.yakuba,conserved_domain_class,composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE,ECM_interface,partial_APA_neighborhood,MFE:stem|centroid:internal_loop;stem,0,3,3,80|81,ECM_interface,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,80|81,ECM_interface,partial_APA_neighborhood,stem,composite_interface_APA_structure_domain,79-79,ECM_interface,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,composite_interface_APA_structure_domain
IEL_005,4,223,225,3,10,1,18,1.0,mixed_deletion_insertion,mixed_recurrent_and_nested,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;complete_APA_neighborhood,hairpin_loop;stem,0,1,3,94|117,between_ECM,APA_distant,stem,ECM_interface_structure_domain,94|117,between_ECM,APA_distant,hairpin_loop,ECM_interface_structure_domain,117-117,between_ECM,complete_APA_neighborhood,stem,composite_interface_APA_structure_domain
IEL_006,5,236,239,4,10,1,41,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;cleavage_DSE_neighborhood,stem,0,1,3,126|136,between_ECM,APA_distant,stem,ECM_interface_structure_domain,126|136,between_ECM,APA_distant,stem,ECM_interface_structure_domain,128-130,between_ECM,cleavage_DSE_neighborhood,stem,composite_interface_APA_structure_domain
IEL_007,6,242,243,2,8,2,16,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_interface_APA_structure_domain,ECM_INTERFACE+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM,APA_distant;core_APA_neighborhood,hairpin_loop;stem,0,1,3,126|136,between_ECM,APA_distant,stem,ECM_interface_structure_domain,126|136,between_ECM,APA_distant,stem,ECM_interface_structure_domain,133-133,between_ECM,core_APA_neighborhood,hairpin_loop,composite_interface_APA_structure_domain
IEL_008,7,285,288,4,9,2,25,1.0,mixed_deletion_insertion,complex_mosaic_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM;inside_ECM,APA_distant;partial_APA_neighborhood,MFE:stem|centroid:internal_loop;multiloop,1,1,3,164|165,between_ECM,APA_distant,multiloop,ECM_interface_structure_domain,164|165,between_ECM,APA_distant,multiloop,ECM_interface_structure_domain,164|165,inside_ECM,partial_APA_neighborhood,MFE:stem|centroid:internal_loop,composite_ECM_APA_structure_domain
IEL_009,8,329,330,2,9,1,16,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM;inside_ECM,APA_distant;partial_APA_neighborhood,stem,1,1,3,169|170,between_ECM,APA_distant,stem,ECM_interface_structure_domain,169|170,between_ECM,APA_distant,stem,ECM_interface_structure_domain,167|169,inside_ECM,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain
IEL_010,9,346,351,6,11,1,30,1.0,mixed_deletion_insertion,recurrent_breakpoint_hotspot,3,D.melanogaster;D.virilis;D.yakuba,partially_conserved_domain_class,ECM_interface_structure_domain;composite_ECM_APA_structure_domain,ECM+APA+RNA_STRUCTURE;ECM_INTERFACE+RNA_STRUCTURE,between_ECM;inside_ECM,APA_distant;partial_APA_neighborhood,stem,1,1,3,169|170,between_ECM,APA_distant,stem,ECM_interface_structure_domain,169|170,between_ECM,APA_distant,stem,ECM_interface_structure_domain,167|169,inside_ECM,partial_APA_neighborhood,stem,composite_ECM_APA_structure_domain
