dmel_locus_id,dmel_locus_key,mapping_class,dmel_location_label,n_arpip_regions,arpip_region_ids,alignment_start_min,alignment_end_max,total_alignment_span,sum_region_lengths,total_dmel_nt_present,total_dmel_gap_columns,plot_coordinate
Dmel_locus_01,before:<1,before_dmel_start,<1,1,0,1,1,1,1,0,1,0.5
Dmel_locus_02,boundary:55|56,between_dmel_bases,55|56,2,1;2,81,93,13,6,0,6,55.5
Dmel_locus_03,boundary:79|80,between_dmel_bases,79|80,1,3,121,126,6,6,0,6,79.5
Dmel_locus_04,boundary:93|94,between_dmel_bases,93|94,1,4,223,225,3,3,0,3,93.5
Dmel_locus_05,boundary:103|104,between_dmel_bases,103|104,2,5;6,236,243,8,6,0,6,103.5
Dmel_locus_06,boundary:123|124,between_dmel_bases,123|124,1,7,285,288,4,4,0,4,123.5
Dmel_locus_07,boundary:128|129,between_dmel_bases,128|129,2,8;9,329,351,23,8,0,8,128.5
Dmel_locus_08,boundary:142|143,between_dmel_bases,142|143,1,10,371,373,3,3,0,3,142.5
Dmel_locus_09,boundary:155|156,between_dmel_bases,155|156,1,11,397,400,4,4,0,4,155.5
Dmel_locus_10,boundary:181|182,between_dmel_bases,181|182,1,12,445,450,6,6,0,6,181.5
Dmel_locus_11,boundary:341|342,between_dmel_bases,341|342,1,13,684,688,5,5,0,5,341.5
Dmel_locus_12,boundary:464|465,between_dmel_bases,464|465,1,14,912,916,5,5,0,5,464.5
Dmel_locus_13,boundary:497|498,between_dmel_bases,497|498,1,15,957,959,3,3,0,3,497.5
Dmel_locus_14,boundary:521|522,between_dmel_bases,521|522,1,16,989,991,3,3,0,3,521.5
Dmel_locus_15,boundary:537|538,between_dmel_bases,537|538,4,17;18;19;20,1022,1228,207,24,0,24,537.5
Dmel_locus_16,direct:544,direct,544,1,21,1245,1245,1,1,1,0,544.0
Dmel_locus_17,boundary:588|589,between_dmel_bases,588|589,1,22,1291,1291,1,1,0,1,588.5
Dmel_locus_18,boundary:601|602,between_dmel_bases,601|602,1,23,1305,1306,2,2,0,2,601.5
Dmel_locus_19,direct:619,direct,619,1,24,1333,1333,1,1,1,0,619.0
Dmel_locus_20,interval:624-628,partially_gapped,624-628,1,25,1338,1347,10,10,5,5,626.0
Dmel_locus_21,boundary:631|632,between_dmel_bases,631|632,1,26,1375,1375,1,1,0,1,631.5
Dmel_locus_22,boundary:704|705,between_dmel_bases,704|705,1,27,1463,1465,3,3,0,3,704.5
Dmel_locus_23,boundary:761|762,between_dmel_bases,761|762,2,28;29,1555,1584,30,3,0,3,761.5
Dmel_locus_24,boundary:791|792,between_dmel_bases,791|792,1,30,1621,1622,2,2,0,2,791.5
Dmel_locus_25,boundary:887|888,between_dmel_bases,887|888,1,31,2093,2093,1,1,0,1,887.5
Dmel_locus_26,boundary:953|954,between_dmel_bases,953|954,1,32,2232,2232,1,1,0,1,953.5
Dmel_locus_27,interval:959-964,partially_gapped,959-964,1,33,2238,2247,10,10,6,4,961.5
