region_id,alignment37_start,alignment37_end,dmel_alignment3_label,dmel_projection_class,dyak_alignment3_label,dyak_projection_class,dvir_alignment3_label,dvir_projection_class
0,1,1,<2,before_sequence,<2,before_sequence,<2,before_sequence
1,81,84,56|57,between_columns,56|57,between_columns,56|57,between_columns
2,92,93,56|57,between_columns,56|57,between_columns,56|57,between_columns
3,121,126,80|81,between_columns,80|81,between_columns,79-79,direct
4,223,225,94|117,between_columns,94|117,between_columns,117-117,direct
5,236,239,126|136,between_columns,126|136,between_columns,128-130,partially_gapped
6,242,243,126|136,between_columns,126|136,between_columns,133-133,direct
7,285,288,164|165,between_columns,164|165,between_columns,164|165,between_columns
8,329,330,169|170,between_columns,169|170,between_columns,167|169,between_columns
9,346,351,169|170,between_columns,169|170,between_columns,167|169,between_columns
10,371,373,183|194,between_columns,183|194,between_columns,184-184,direct
11,397,400,207|208,between_columns,207|208,between_columns,207-207,direct
12,445,450,233|234,between_columns,233|234,between_columns,233|235,between_columns
13,684,688,394|395,between_columns,394|395,between_columns,392-393,partially_gapped
14,912,916,534|536,between_columns,534|536,between_columns,535|536,between_columns
15,957,959,568|569,between_columns,568|569,between_columns,585|586,between_columns
16,989,991,605|606,between_columns,605|606,between_columns,611-613,partially_gapped
17,1022,1023,621|636,between_columns,621|636,between_columns,642-643,partially_gapped
18,1169,1188,621|636,between_columns,621|636,between_columns,683|684,between_columns
19,1224,1224,621|636,between_columns,621|636,between_columns,701|702,between_columns
20,1228,1228,621|636,between_columns,621|636,between_columns,705-705,direct
21,1245,1245,642-642,direct,642-642,direct,721-721,direct
22,1291,1291,751|752,between_columns,751|752,between_columns,751|752,between_columns
23,1305,1306,764|765,between_columns,764|765,between_columns,764|765,between_columns
24,1333,1333,784-784,direct,784-784,direct,781|782,between_columns
25,1338,1347,791-796,partially_gapped,787|788,between_columns,786-790,partially_gapped
26,1375,1375,799|800,between_columns,799-799,direct,798|799,between_columns
27,1463,1465,872|873,between_columns,872|873,between_columns,877|878,between_columns
28,1555,1556,949|958,between_columns,949|958,between_columns,949|950,between_columns
29,1584,1584,949|958,between_columns,949|958,between_columns,958|959,between_columns
30,1621,1622,987|1115,between_columns,987|1115,between_columns,988-989,partially_gapped
31,2093,2093,1234|1235,between_columns,1234|1235,between_columns,1234|1235,between_columns
32,2232,2232,1300|1301,between_columns,1300|1301,between_columns,1300|1301,between_columns
33,2238,2247,1306-1311,partially_gapped,1306-1315,partially_gapped,1306-1315,partially_gapped
